SL,Permutation,Accuracy,Metrics
1,TRUE,0.802,"Classification Report:
              precision    recall  f1-score   support

           0       0.26      0.80      0.40       131
           1       0.60      0.28      0.38       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.28       500
   macro avg       0.17      0.22      0.16       500
weighted avg       0.21      0.28      0.20       500"
,Satire,0.281,
,Misleading Content,0,
,Imposter Content,0,
2,TRUE,0.794,"Classification Report:
              precision    recall  f1-score   support

           0       0.28      0.79      0.41       131
           1       0.63      0.40      0.49       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.31       500
   macro avg       0.18      0.24      0.18       500
weighted avg       0.22      0.31      0.23       500"
,Satire,0.405,
,Imposter Content,0,
,Misleading Content,0,
3,TRUE,0.481,"Classification Report:
              precision    recall  f1-score   support

           0       0.43      0.48      0.45       131
           1       0.46      0.27      0.34       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.19       500
   macro avg       0.18      0.15      0.16       500
weighted avg       0.22      0.19      0.20       500"
,Imposter Content,0,
,Satire,0.273,
,Misleading Content,0,
4,TRUE,0.565,"Classification Report:
              precision    recall  f1-score   support

           0       0.25      0.56      0.35       131
           1       0.60      0.21      0.32       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.20       500
   macro avg       0.17      0.16      0.13       500
weighted avg       0.21      0.20      0.17       500"
,Imposter Content,0,
,Misleading Content,0,
,Satire,0.215,
5,TRUE,0.84,"Classification Report:
              precision    recall  f1-score   support

           0       0.28      0.84      0.42       131
           1       0.69      0.27      0.39       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.29       500
   macro avg       0.19      0.22      0.16       500
weighted avg       0.24      0.29      0.20       500"
,Misleading Content,0,
,Imposter Content,0,
,Satire,0.273,
6,TRUE,0.756,"Classification Report:
              precision    recall  f1-score   support

           0       0.43      0.76      0.55       131
           1       0.68      0.21      0.33       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.25       500
   macro avg       0.22      0.19      0.18       500
weighted avg       0.28      0.25      0.22       500"
,Misleading Content,0,
,Satire,0.215,
,Imposter Content,0,
