SL,Permutation,Accuracy,Metrics-Colab,
1,TRUE,0.598,"Classification Report:
              precision    recall  f1-score   support

           0       0.56      0.60      0.58       107
           1       0.61      0.83      0.70       100
           2       0.36      0.17      0.23        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.41       400
   macro avg       0.31      0.32      0.30       400
weighted avg       0.39      0.41      0.38       400",
,Satire,0.83,,
,Misleading Content,0.172,,
,Imposter Content,0,,
2,TRUE,0.514,"Classification Report:
              precision    recall  f1-score   support

           0       0.59      0.51      0.55       107
           1       0.63      0.74      0.68       100
           2       0.33      0.28      0.30        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.39       400
   macro avg       0.31      0.31      0.31       400
weighted avg       0.39      0.39      0.39       400",
,Satire,0.74,,
,Imposter Content,0,,
,Misleading Content,0.28,,
3,TRUE,0.626,"Classification Report:
              precision    recall  f1-score   support

           0       0.55      0.63      0.59       107
           1       0.79      0.54      0.64       100
           2       0.28      0.30      0.29        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.37       400
   macro avg       0.33      0.29      0.30       400
weighted avg       0.41      0.37      0.39       400",
,Imposter Content,0,,
,Satire,0.54,,
,Misleading Content,0.301,,
4,TRUE,0.617,"Classification Report:
              precision    recall  f1-score   support

           0       0.54      0.62      0.57       107
           1       0.91      0.30      0.45       100
           2       0.27      0.38      0.32        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.33       400
   macro avg       0.34      0.26      0.27       400
weighted avg       0.43      0.33      0.34       400",
,Imposter Content,0,,
,Misleading Content,0.376,,
,Satire,0.3,,"Classification Report:
              precision    recall  f1-score   support

           0       0.54      0.62      0.57       107
           1       0.91      0.30      0.45       100
           2       0.27      0.38      0.32        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.33       400
   macro avg       0.34      0.26      0.27       400
weighted avg       0.43      0.33      0.34       400"
